condition,rep,signal,label,kill_log,f_S,f_Z_MK,f_R_curve,f_rho_env,f_E_ratio,f_G_spec,f_Q_spec,f_K_01,f_PE,f_med_first,f_med_last,f_peak_period,f_MAD_dx
convergence,88,composed,convergent,monotone→curvature→convergent,-0.000463,-24.163757,0.941420,-0.018702,0.272554,0.343577,1.000000,0.997099,0.998438,3.501155,-0.531267,10000.000000,0.637182
convergence,88,standardized_sum,convergent,monotone→curvature→convergent,-0.000252,-16.675996,1.084297,-0.002150,0.469135,0.192789,1.000000,0.998380,0.998989,2.069254,-0.447836,10000.000000,0.749917
convergence,89,individual_temperature,null,null (no test triggered),-0.000128,-10.632663,1.138210,-0.002788,0.862301,0.053714,1.000000,0.997219,0.998935,0.854347,-0.273881,10000.000000,0.882656
convergence,89,individual_fish_count,convergent,monotone→curvature→convergent,-0.000492,-23.347456,0.968751,-0.039960,0.209532,0.321036,1.000000,0.997109,0.990558,4.496605,-0.449661,10000.000000,0.674491
convergence,89,individual_inter_event,null,null (no test triggered),-0.000079,-8.135700,1.204518,0.046120,2.331755,0.043425,1.000000,0.997025,0.998877,0.550441,-0.273933,10000.000000,0.930557
convergence,89,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-3.706293,2.716594,-0.014649,0.774473,0.018039,1.000000,0.997220,0.618285,0.153958,0.000000,10000.000000,1.000000
convergence,89,individual_dissolved_oxygen,null,null (no test triggered),-0.000224,-15.549329,1.137752,-0.006815,0.617062,0.188224,1.000000,0.998287,0.998870,1.524536,-0.381412,10000.000000,0.778092
convergence,89,composed,convergent,monotone→curvature→convergent,-0.000469,-23.978048,0.928557,-0.020050,0.273746,0.342060,1.000000,0.996165,0.998404,3.440055,-0.489146,10000.000000,0.635290
convergence,89,standardized_sum,convergent,monotone→curvature→convergent,-0.000254,-17.060779,1.080726,-0.008130,0.446625,0.197755,1.000000,0.998635,0.998932,2.154507,-0.430137,10000.000000,0.758905
convergence,90,individual_temperature,null,null (no test triggered),-0.000102,-8.496784,1.163566,-0.005838,0.869812,0.053439,1.000000,0.998983,0.998673,0.773716,-0.259342,10000.000000,0.896755
convergence,90,individual_fish_count,convergent,monotone→curvature→convergent,-0.000495,-23.231140,0.977940,-0.034529,0.210936,0.309986,1.000000,0.996689,0.991316,4.496605,-0.449661,10000.000000,0.674491
convergence,90,individual_inter_event,null,null (no test triggered),-0.000121,-10.867950,1.177915,0.052127,2.310331,0.050490,1.000000,0.997724,0.998794,0.543317,-0.386854,10000.000000,0.905775
convergence,90,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-2.984695,2.792945,-0.011686,0.779546,0.015352,1.000000,0.998497,0.605559,0.153958,0.000000,10000.000000,1.000000
convergence,90,individual_dissolved_oxygen,null,null (no test triggered),-0.000206,-14.590549,1.112405,-0.002986,0.616981,0.177376,1.000000,0.997940,0.998277,1.484457,-0.378128,10000.000000,0.778597
convergence,90,composed,convergent,monotone→curvature→convergent,-0.000458,-23.709014,0.955809,-0.016185,0.278033,0.330067,1.000000,0.995016,0.998896,3.467812,-0.514443,10000.000000,0.644745
convergence,90,standardized_sum,convergent,monotone→curvature→convergent,-0.000219,-15.022540,1.106932,-0.000006,0.460164,0.178183,0.500000,0.997311,0.998615,2.092861,-0.333981,10000.000000,0.782391
convergence,91,individual_temperature,null,null (no test triggered),-0.000097,-8.299890,1.144357,-0.003538,0.848799,0.055933,1.000000,0.997706,0.998989,0.803981,-0.303234,10000.000000,0.919539
convergence,91,individual_fish_count,convergent,monotone→curvature→convergent,-0.000492,-22.756774,0.965821,-0.035248,0.211466,0.319261,1.000000,0.996397,0.991045,4.496605,-0.449661,10000.000000,0.674491
convergence,91,individual_inter_event,null,null (no test triggered),-0.000090,-8.513658,1.181422,0.044223,2.374807,0.042919,1.000000,0.998121,0.998562,0.526644,-0.335714,10000.000000,0.945492
convergence,91,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-3.766205,2.809460,-0.016382,0.746910,0.018783,1.000000,0.997878,0.605394,0.153958,0.000000,10000.000000,1.000000
convergence,91,individual_dissolved_oxygen,null,null (no test triggered),-0.000219,-16.113469,1.113598,-0.003479,0.621307,0.181882,1.000000,0.997600,0.998704,1.515627,-0.442162,10000.000000,0.800428
convergence,91,composed,convergent,monotone→curvature→convergent,-0.000443,-23.820211,0.935094,-0.016510,0.279449,0.340799,1.000000,0.997490,0.998945,3.423010,-0.545115,10000.000000,0.651245
convergence,91,standardized_sum,convergent,monotone→curvature→convergent,-0.000233,-15.587533,1.094075,-0.007674,0.450803,0.193000,1.000000,0.998222,0.998506,2.003129,-0.382396,10000.000000,0.748193
convergence,92,individual_temperature,null,null (no test triggered),-0.000128,-10.450368,1.169985,-0.004694,0.836951,0.064170,1.000000,0.998184,0.999032,0.816322,-0.275753,10000.000000,0.889790
convergence,92,individual_fish_count,convergent,monotone→curvature→convergent,-0.000505,-22.965044,0.954143,-0.041726,0.206204,0.323913,1.000000,0.995690,0.992102,4.721435,-0.449661,10000.000000,0.674491
convergence,92,individual_inter_event,null,null (no test triggered),-0.000069,-6.910539,1.175298,0.041662,2.295455,0.034169,1.000000,0.997297,0.998608,0.552755,-0.324473,10000.000000,0.934625
convergence,92,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-4.602697,2.844192,-0.018169,0.730384,0.016211,1.000000,0.996909,0.602290,0.153958,0.000000,10000.000000,1.000000
convergence,92,individual_dissolved_oxygen,null,null (no test triggered),-0.000231,-16.522330,1.132875,-0.005363,0.637512,0.178880,1.000000,0.996812,0.998732,1.491338,-0.332031,10000.000000,0.788512
convergence,92,composed,convergent,monotone→curvature→convergent,-0.000473,-24.704007,0.921588,-0.023150,0.273553,0.346082,1.000000,0.995395,0.998744,3.458669,-0.473006,10000.000000,0.644680
convergence,92,standardized_sum,convergent,monotone→curvature→convergent,-0.000265,-18.104593,1.082775,-0.003930,0.453393,0.203697,1.000000,0.997802,0.998661,2.082876,-0.414905,10000.000000,0.761604
convergence,93,individual_temperature,null,null (no test triggered),-0.000123,-9.975433,1.157882,0.000149,0.858840,0.062274,1.000000,0.998137,0.998739,0.851633,-0.226746,10000.000000,0.895339
convergence,93,individual_fish_count,convergent,monotone→curvature→convergent,-0.000519,-23.904391,0.959976,-0.039282,0.205649,0.319860,1.000000,0.997167,0.990020,4.496605,-0.449661,10000.000000,0.674491
convergence,93,individual_inter_event,null,null (no test triggered),-0.000084,-8.152385,1.203004,0.041097,2.161407,0.039738,1.000000,0.998171,0.998675,0.549067,-0.265744,10000.000000,0.919551
convergence,93,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-3.656524,2.752763,-0.016496,0.745356,0.018385,1.000000,0.998257,0.607861,0.153958,0.000000,10000.000000,1.000000
convergence,93,individual_dissolved_oxygen,null,null (no test triggered),-0.000204,-14.720516,1.122531,-0.007700,0.618647,0.178935,1.000000,0.997479,0.998767,1.547640,-0.407825,10000.000000,0.783056
convergence,93,composed,convergent,monotone→curvature→convergent,-0.000477,-24.232959,0.933925,-0.013905,0.273015,0.343303,1.000000,0.996987,0.998264,3.452295,-0.489567,10000.000000,0.630013
convergence,93,standardized_sum,convergent,monotone→curvature→convergent,-0.000248,-16.128826,1.076557,-0.005000,0.454788,0.196561,1.000000,0.998102,0.998905,2.071615,-0.400451,10000.000000,0.756017
convergence,94,individual_temperature,null,null (no test triggered),-0.000101,-7.845715,1.227380,-0.004603,0.852455,0.058155,1.000000,0.998505,0.998770,0.854733,-0.200217,10000.000000,0.889920
convergence,94,individual_fish_count,convergent,monotone→curvature→convergent,-0.000517,-23.578478,0.973907,-0.043286,0.209795,0.321865,1.000000,0.996105,0.990643,4.496605,-0.449661,10000.000000,0.674491
convergence,94,individual_inter_event,null,null (no test triggered),-0.000084,-7.834340,1.189149,0.054395,2.502767,0.044242,1.000000,0.998813,0.998973,0.559211,-0.350666,10000.000000,0.954849
convergence,94,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-3.917691,2.759490,-0.014712,0.749258,0.016063,1.000000,0.998206,0.608502,0.153958,0.000000,10000.000000,1.000000
