category,perturbation,severity,signal,macro_f1,ci_lo,ci_hi,null_fpr,label_entropy,label_counts,detection_rate,paired_delta
amplitude,sweep_divergence,1.8000,standardized_sum,0.4648,0.4591,0.4667,0.0100,1.5239,"{""null"": 199, ""divergent"": 0, ""convergent"": 200, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,1.9500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5352
amplitude,sweep_divergence,1.9500,standardized_sum,0.4648,0.4610,0.4667,0.0100,1.5239,"{""null"": 199, ""divergent"": 0, ""convergent"": 200, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,2.1000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5352
amplitude,sweep_divergence,2.1000,standardized_sum,0.4648,0.4610,0.4667,0.0100,1.5239,"{""null"": 199, ""divergent"": 0, ""convergent"": 200, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,2.2500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5352
amplitude,sweep_divergence,2.2500,standardized_sum,0.4648,0.4610,0.4667,0.0100,1.5239,"{""null"": 199, ""divergent"": 0, ""convergent"": 200, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,2.4000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5308
amplitude,sweep_divergence,2.4000,standardized_sum,0.4692,0.4610,0.4797,0.0100,1.5421,"{""null"": 199, ""divergent"": 1, ""convergent"": 199, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,2.5500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.3901
