condition,rep,signal,peak_median_ratio,peak_period,evalue_null_mean
signal,15,individual_inter_event,19.60,500.0,0.9997
signal,15,individual_turbidity,15.62,3.0,0.9997
signal,15,individual_dissolved_oxygen,12.19,17.9,0.9972
signal,15,composed_evalue,40.53,500.0,1.0060
signal,15,standardized_sum,13.36,2.8,
signal,16,individual_temperature,14.51,3.2,0.9942
signal,16,individual_fish_count,14.50,45.0,1.0001
signal,16,individual_inter_event,15.51,3.6,0.9995
signal,16,individual_turbidity,13.47,2.2,0.9995
signal,16,individual_dissolved_oxygen,14.87,2.3,0.9992
signal,16,composed_evalue,23.65,500.0,0.9937
signal,16,standardized_sum,16.49,3.6,
signal,17,individual_temperature,13.83,3.1,0.9976
signal,17,individual_fish_count,13.18,500.0,1.0077
signal,17,individual_inter_event,13.03,500.0,1.0002
signal,17,individual_turbidity,12.84,2.2,0.9997
signal,17,individual_dissolved_oxygen,11.73,4.1,0.9968
signal,17,composed_evalue,31.13,500.0,1.0001
signal,17,standardized_sum,13.67,14.3,
signal,18,individual_temperature,11.29,2.3,0.9994
signal,18,individual_fish_count,12.79,2.9,0.9979
signal,18,individual_inter_event,15.65,2.9,0.9993
signal,18,individual_turbidity,15.11,500.0,1.0001
signal,18,individual_dissolved_oxygen,15.86,6.3,0.9992
signal,18,composed_evalue,22.74,500.0,0.9980
signal,18,standardized_sum,11.21,2.5,
signal,19,individual_temperature,13.85,3.9,1.0018
signal,19,individual_fish_count,13.68,500.0,1.0021
signal,19,individual_inter_event,12.12,2.6,1.0005
signal,19,individual_turbidity,13.08,2.6,0.9999
signal,19,individual_dissolved_oxygen,14.64,13.8,1.0030
signal,19,composed_evalue,43.58,500.0,1.0078
signal,19,standardized_sum,22.65,500.0,
signal,20,individual_temperature,19.64,500.0,1.0023
signal,20,individual_fish_count,18.66,500.0,1.0030
signal,20,individual_inter_event,9.65,2.3,0.9986
signal,20,individual_turbidity,14.97,3.8,1.0002
signal,20,individual_dissolved_oxygen,15.80,2.8,1.0003
signal,20,composed_evalue,51.44,500.0,1.0050
signal,20,standardized_sum,22.59,500.0,
signal,21,individual_temperature,16.67,2.2,0.9933
signal,21,individual_fish_count,13.98,13.8,0.9988
signal,21,individual_inter_event,18.94,500.0,0.9988
signal,21,individual_turbidity,13.52,2.6,1.0015
signal,21,individual_dissolved_oxygen,14.74,4.0,0.9999
signal,21,composed_evalue,39.37,500.0,0.9931
signal,21,standardized_sum,14.15,105.3,
signal,22,individual_temperature,15.42,29.5,1.0015
signal,22,individual_fish_count,12.25,15.3,0.9964
signal,22,individual_inter_event,13.25,3.4,0.9988
signal,22,individual_turbidity,12.24,16.9,1.0019
signal,22,individual_dissolved_oxygen,10.66,2.8,0.9993
signal,22,composed_evalue,36.03,500.0,0.9983
signal,22,standardized_sum,14.38,10.2,
signal,23,individual_temperature,10.94,3.5,1.0032
signal,23,individual_fish_count,18.31,500.0,1.0025
signal,23,individual_inter_event,17.62,500.0,1.0011
signal,23,individual_turbidity,17.53,500.0,1.0011
signal,23,individual_dissolved_oxygen,12.98,28.1,0.9985
signal,23,composed_evalue,38.35,500.0,1.0070
signal,23,standardized_sum,13.31,3.3,
signal,24,individual_temperature,10.61,2.8,1.0041
signal,24,individual_fish_count,14.72,500.0,0.9985
signal,24,individual_inter_event,12.19,14.8,0.9997
signal,24,individual_turbidity,16.01,500.0,0.9987
signal,24,individual_dissolved_oxygen,15.06,8.1,1.0016
signal,24,composed_evalue,32.53,500.0,1.0029
signal,24,standardized_sum,20.39,500.0,
signal,25,individual_temperature,15.65,2.9,1.0006
signal,25,individual_fish_count,19.26,500.0,1.0017
signal,25,individual_inter_event,12.51,2.3,0.9994
signal,25,individual_turbidity,11.67,3.1,0.9995
signal,25,individual_dissolved_oxygen,11.93,7.2,1.0023
signal,25,composed_evalue,30.51,500.0,1.0004
signal,25,standardized_sum,17.80,104.2,
signal,26,individual_temperature,15.90,4.0,1.0033
signal,26,individual_fish_count,13.94,3.2,0.9983
signal,26,individual_inter_event,14.29,54.9,1.0006
signal,26,individual_turbidity,12.68,2.6,1.0004
signal,26,individual_dissolved_oxygen,13.72,13.3,1.0005
signal,26,composed_evalue,26.53,500.0,1.0042
signal,26,standardized_sum,12.48,2.2,
signal,27,individual_temperature,13.19,500.0,0.9994
signal,27,individual_fish_count,24.80,500.0,0.9999
signal,27,individual_inter_event,12.57,2.4,0.9997
signal,27,individual_turbidity,14.68,4.4,1.0023
signal,27,individual_dissolved_oxygen,11.65,12.3,0.9985
signal,27,composed_evalue,55.86,500.0,0.9976
signal,27,standardized_sum,35.15,500.0,
signal,28,individual_temperature,11.70,3.4,0.9936
signal,28,individual_fish_count,21.54,500.0,0.9952
signal,28,individual_inter_event,14.40,8.6,1.0014
signal,28,individual_turbidity,14.79,8.6,0.9994
signal,28,individual_dissolved_oxygen,11.60,13.8,1.0025
signal,28,composed_evalue,45.17,500.0,0.9922
signal,28,standardized_sum,20.18,500.0,
signal,29,individual_temperature,14.96,3.6,0.9991
signal,29,individual_fish_count,13.12,2.9,1.0013
signal,29,individual_inter_event,20.16,500.0,0.9999
signal,29,individual_turbidity,11.81,2.1,1.0000
signal,29,individual_dissolved_oxygen,13.31,30.3,0.9990
signal,29,composed_evalue,40.75,500.0,1.0015
signal,29,standardized_sum,13.36,500.0,
signal,30,individual_temperature,13.06,500.0,1.0075
signal,30,individual_fish_count,13.31,500.0,1.0042
signal,30,individual_inter_event,11.77,2.6,0.9998
signal,30,individual_turbidity,12.98,8.6,1.0005
signal,30,individual_dissolved_oxygen,19.13,500.0,0.9980
signal,30,composed_evalue,51.94,500.0,1.0119
signal,30,standardized_sum,32.06,500.0,
signal,31,individual_temperature,14.68,3.6,1.0017
signal,31,individual_fish_count,15.19,3.0,1.0009
signal,31,individual_inter_event,12.35,5.7,1.0004
signal,31,individual_turbidity,14.65,3.8,1.0005
signal,31,individual_dissolved_oxygen,11.80,20.3,1.0014
signal,31,composed_evalue,23.68,500.0,1.0071
signal,31,standardized_sum,12.46,2.5,
signal,32,individual_temperature,18.68,500.0,0.9935
signal,32,individual_fish_count,12.01,4.9,0.9941
signal,32,individual_inter_event,12.63,13.6,1.0011
signal,32,individual_turbidity,11.58,500.0,0.9998
signal,32,individual_dissolved_oxygen,13.14,29.5,0.9994
signal,32,composed_evalue,36.03,500.0,0.9870
signal,32,standardized_sum,20.57,500.0,
signal,33,individual_temperature,14.16,2.2,1.0018
signal,33,individual_fish_count,15.57,500.0,1.0005
signal,33,individual_inter_event,15.84,3.0,1.0003
signal,33,individual_turbidity,12.68,3.5,1.0003
signal,33,individual_dissolved_oxygen,14.68,500.0,0.9975
signal,33,composed_evalue,47.33,500.0,1.0005
signal,33,standardized_sum,19.10,500.0,
signal,34,individual_temperature,17.63,500.0,1.0040
signal,34,individual_fish_count,11.49,5.0,0.9992
signal,34,individual_inter_event,11.69,3.7,0.9999
signal,34,individual_turbidity,13.24,2.9,1.0003
signal,34,individual_dissolved_oxygen,13.89,2.3,0.9998
signal,34,composed_evalue,31.98,500.0,1.0038
signal,34,standardized_sum,13.21,500.0,
signal,35,individual_temperature,13.03,7.2,1.0014
signal,35,individual_fish_count,15.95,500.0,0.9999
signal,35,individual_inter_event,13.08,500.0,1.0008
signal,35,individual_turbidity,11.62,2.6,0.9985
signal,35,individual_dissolved_oxygen,11.07,2.5,1.0010
signal,35,composed_evalue,45.98,500.0,1.0045
signal,35,standardized_sum,14.44,500.0,
signal,36,individual_temperature,20.00,500.0,0.9991
signal,36,individual_fish_count,18.97,17.4,0.9993
signal,36,individual_inter_event,13.04,500.0,0.9993
signal,36,individual_turbidity,14.48,3.6,1.0000
signal,36,individual_dissolved_oxygen,13.98,29.4,1.0013
signal,36,composed_evalue,48.48,500.0,0.9970
signal,36,standardized_sum,17.25,500.0,
signal,37,individual_temperature,14.11,2.5,0.9990
signal,37,individual_fish_count,12.46,500.0,0.9969
signal,37,individual_inter_event,11.69,18.2,1.0001
signal,37,individual_turbidity,13.20,6.3,0.9999
signal,37,individual_dissolved_oxygen,11.09,9.4,1.0016
signal,37,composed_evalue,29.79,500.0,0.9980
signal,37,standardized_sum,12.08,10.2,
signal,38,individual_temperature,11.83,232.6,1.0007
signal,38,individual_fish_count,12.94,2.3,1.0006
signal,38,individual_inter_event,19.51,2.9,0.9999
signal,38,individual_turbidity,13.42,53.5,1.0001
signal,38,individual_dissolved_oxygen,12.70,2.3,1.0051
signal,38,composed_evalue,28.53,500.0,1.0080
signal,38,standardized_sum,15.84,500.0,
signal,39,individual_temperature,26.71,500.0,0.9982
signal,39,individual_fish_count,14.68,3.7,0.9977
signal,39,individual_inter_event,12.85,9.8,0.9996
signal,39,individual_turbidity,15.83,2.1,0.9997
signal,39,individual_dissolved_oxygen,12.93,500.0,1.0023
signal,39,composed_evalue,53.62,500.0,1.0019
signal,39,standardized_sum,18.04,500.0,
signal,40,individual_temperature,13.17,3.3,0.9984
signal,40,individual_fish_count,14.00,2.1,1.0033
signal,40,individual_inter_event,11.13,2.2,1.0019
