condition,rep,signal,peak_median_ratio,peak_period,evalue_null_mean
signal,77,individual_temperature,10.01,7.3,0.9978
signal,77,individual_fish_count,15.60,500.0,1.0005
signal,77,individual_inter_event,13.29,500.0,1.0014
signal,77,individual_turbidity,11.95,3.3,1.0015
signal,77,individual_dissolved_oxygen,14.27,2.4,0.9993
signal,77,composed_evalue,48.78,500.0,1.0027
signal,77,standardized_sum,19.04,108.7,
signal,78,individual_temperature,11.85,2.4,1.0032
signal,78,individual_fish_count,10.93,2.1,1.0006
signal,78,individual_inter_event,12.89,500.0,1.0015
signal,78,individual_turbidity,14.50,3.7,1.0012
signal,78,individual_dissolved_oxygen,11.48,2.4,1.0008
signal,78,composed_evalue,36.26,500.0,1.0077
signal,78,standardized_sum,13.26,3.0,
signal,79,individual_temperature,11.78,2.1,1.0025
signal,79,individual_fish_count,14.92,500.0,1.0016
signal,79,individual_inter_event,15.34,12.2,1.0017
signal,79,individual_turbidity,13.49,500.0,0.9983
signal,79,individual_dissolved_oxygen,12.48,3.6,1.0016
signal,79,composed_evalue,36.23,500.0,1.0087
signal,79,standardized_sum,16.03,500.0,
signal,80,individual_temperature,11.40,2.5,0.9951
signal,80,individual_fish_count,11.52,2.4,0.9981
signal,80,individual_inter_event,14.40,2.6,0.9996
signal,80,individual_turbidity,15.92,7.0,0.9998
signal,80,individual_dissolved_oxygen,14.95,3.7,1.0003
signal,80,composed_evalue,35.08,500.0,0.9931
signal,80,standardized_sum,17.09,500.0,
signal,81,individual_temperature,12.04,3.7,0.9984
signal,81,individual_fish_count,15.64,500.0,1.0001
signal,81,individual_inter_event,11.92,3.8,0.9997
signal,81,individual_turbidity,15.18,500.0,1.0010
signal,81,individual_dissolved_oxygen,27.69,500.0,0.9987
signal,81,composed_evalue,52.05,500.0,0.9999
signal,81,standardized_sum,31.86,500.0,
signal,82,individual_temperature,12.42,2.1,1.0020
signal,82,individual_fish_count,20.44,500.0,0.9971
signal,82,individual_inter_event,12.53,24.2,0.9993
signal,82,individual_turbidity,14.98,2.8,0.9998
signal,82,individual_dissolved_oxygen,10.94,50.5,0.9991
signal,82,composed_evalue,41.28,500.0,0.9977
signal,82,standardized_sum,15.30,500.0,
signal,83,individual_temperature,11.09,2.0,1.0017
signal,83,individual_fish_count,10.29,8.0,0.9974
signal,83,individual_inter_event,11.33,5.9,1.0003
signal,83,individual_turbidity,12.99,54.3,1.0008
signal,83,individual_dissolved_oxygen,16.67,500.0,1.0048
signal,83,composed_evalue,28.84,500.0,1.0062
signal,83,standardized_sum,16.89,500.0,
signal,84,individual_temperature,15.83,500.0,0.9989
signal,84,individual_fish_count,14.57,3.6,0.9968
signal,84,individual_inter_event,11.59,3.2,1.0011
signal,84,individual_turbidity,16.29,500.0,1.0002
signal,84,individual_dissolved_oxygen,12.84,106.4,1.0029
signal,84,composed_evalue,46.55,500.0,0.9991
signal,84,standardized_sum,26.70,500.0,
signal,85,individual_temperature,11.78,2.2,0.9994
signal,85,individual_fish_count,9.78,4.0,1.0068
signal,85,individual_inter_event,14.79,500.0,0.9994
signal,85,individual_turbidity,12.94,2.7,0.9987
signal,85,individual_dissolved_oxygen,26.12,500.0,1.0022
signal,85,composed_evalue,48.14,500.0,1.0078
signal,85,standardized_sum,17.89,500.0,
signal,86,individual_temperature,12.34,500.0,0.9977
signal,86,individual_fish_count,10.37,2.5,0.9988
signal,86,individual_inter_event,16.97,135.1,0.9995
signal,86,individual_turbidity,16.09,6.7,1.0000
signal,86,individual_dissolved_oxygen,16.38,2.7,0.9999
signal,86,composed_evalue,24.01,500.0,0.9965
signal,86,standardized_sum,13.34,500.0,
signal,87,individual_temperature,12.19,23.3,0.9995
signal,87,individual_fish_count,14.04,2.7,1.0002
signal,87,individual_inter_event,13.37,4.1,0.9994
signal,87,individual_turbidity,19.25,32.5,1.0026
signal,87,individual_dissolved_oxygen,13.64,2.4,0.9998
signal,87,composed_evalue,31.75,500.0,1.0007
signal,87,standardized_sum,19.70,500.0,
signal,88,individual_temperature,11.85,15.5,1.0020
signal,88,individual_fish_count,15.33,2.9,1.0055
signal,88,individual_inter_event,19.73,5.6,1.0009
signal,88,individual_turbidity,11.98,3.0,1.0007
signal,88,individual_dissolved_oxygen,12.63,3.4,1.0025
signal,88,composed_evalue,25.43,500.0,1.0133
signal,88,standardized_sum,12.67,41.0,
signal,89,individual_temperature,12.99,2.2,1.0009
signal,89,individual_fish_count,11.14,3.4,1.0046
signal,89,individual_inter_event,17.27,2.2,0.9991
signal,89,individual_turbidity,16.14,500.0,1.0009
signal,89,individual_dissolved_oxygen,15.04,2.0,0.9962
signal,89,composed_evalue,36.88,500.0,1.0037
signal,89,standardized_sum,12.32,500.0,
signal,90,individual_temperature,10.61,25.4,1.0037
signal,90,individual_fish_count,13.88,500.0,0.9965
signal,90,individual_inter_event,15.30,15.6,0.9992
signal,90,individual_turbidity,14.39,2.8,1.0010
signal,90,individual_dissolved_oxygen,11.63,14.9,1.0020
signal,90,composed_evalue,37.13,500.0,1.0059
signal,90,standardized_sum,19.03,500.0,
signal,91,individual_temperature,17.98,500.0,0.9946
signal,91,individual_fish_count,18.89,500.0,0.9960
signal,91,individual_inter_event,12.48,24.2,0.9989
signal,91,individual_turbidity,14.33,14.1,0.9990
signal,91,individual_dissolved_oxygen,12.97,500.0,1.0033
signal,91,composed_evalue,53.90,500.0,0.9918
signal,91,standardized_sum,23.32,500.0,
signal,92,individual_temperature,12.57,2.8,1.0023
signal,92,individual_fish_count,13.16,500.0,1.0068
signal,92,individual_inter_event,22.66,3.8,0.9988
signal,92,individual_turbidity,11.85,3.3,0.9987
signal,92,individual_dissolved_oxygen,12.08,6.6,0.9980
signal,92,composed_evalue,37.68,500.0,1.0071
signal,92,standardized_sum,18.63,500.0,
signal,93,individual_temperature,12.06,4.9,0.9976
signal,93,individual_fish_count,11.87,2.3,1.0115
signal,93,individual_inter_event,17.69,9.0,1.0011
signal,93,individual_turbidity,12.05,3.4,1.0001
signal,93,individual_dissolved_oxygen,9.38,3.1,1.0023
signal,93,composed_evalue,16.64,500.0,1.0097
signal,93,standardized_sum,12.54,6.1,
signal,94,individual_temperature,11.57,72.5,0.9952
signal,94,individual_fish_count,15.09,500.0,1.0027
signal,94,individual_inter_event,14.28,2.5,1.0016
signal,94,individual_turbidity,16.25,500.0,1.0013
signal,94,individual_dissolved_oxygen,12.55,3.3,0.9995
signal,94,composed_evalue,43.42,500.0,1.0027
signal,94,standardized_sum,23.10,500.0,
signal,95,individual_temperature,11.57,3.2,1.0033
signal,95,individual_fish_count,14.98,3.8,1.0004
signal,95,individual_inter_event,12.60,20.7,1.0004
signal,95,individual_turbidity,17.77,500.0,1.0007
signal,95,individual_dissolved_oxygen,13.98,3.1,0.9981
signal,95,composed_evalue,35.44,500.0,1.0033
signal,95,standardized_sum,15.21,500.0,
signal,96,individual_temperature,13.88,4.7,1.0024
signal,96,individual_fish_count,17.47,500.0,1.0010
signal,96,individual_inter_event,13.53,3.7,0.9996
signal,96,individual_turbidity,16.23,2.1,1.0011
signal,96,individual_dissolved_oxygen,14.35,2.0,0.9983
signal,96,composed_evalue,47.99,500.0,1.0017
signal,96,standardized_sum,25.08,500.0,
signal,97,individual_temperature,11.02,4.2,0.9979
signal,97,individual_fish_count,11.50,32.8,1.0022
signal,97,individual_inter_event,18.23,500.0,1.0012
signal,97,individual_turbidity,13.86,8.9,0.9991
signal,97,individual_dissolved_oxygen,12.61,5.5,0.9991
signal,97,composed_evalue,30.07,500.0,0.9979
signal,97,standardized_sum,10.85,3.7,
signal,98,individual_temperature,14.76,6.7,0.9995
signal,98,individual_fish_count,13.18,5.3,0.9973
signal,98,individual_inter_event,12.62,23.1,1.0002
signal,98,individual_turbidity,18.99,500.0,0.9994
signal,98,individual_dissolved_oxygen,11.60,2.1,0.9976
signal,98,composed_evalue,29.76,500.0,0.9960
signal,98,standardized_sum,15.99,500.0,
signal,99,individual_temperature,11.28,3.6,1.0024
signal,99,individual_fish_count,14.09,2.5,0.9956
signal,99,individual_inter_event,17.42,500.0,1.0000
signal,99,individual_turbidity,16.51,500.0,1.0002
signal,99,individual_dissolved_oxygen,12.28,2.5,0.9951
signal,99,composed_evalue,34.49,500.0,0.9938
signal,99,standardized_sum,17.87,3.5,
null,0,individual_temperature,14.67,7.8,0.9993
null,0,individual_fish_count,10.76,7.8,1.0056
null,0,individual_inter_event,14.77,2.5,1.0008
null,0,individual_turbidity,11.58,6.9,1.0009
null,0,individual_dissolved_oxygen,15.69,2.2,1.0020
null,0,composed_evalue,12.17,2.0,1.0084
null,0,standardized_sum,15.06,2.5,
null,1,individual_temperature,17.01,2.9,0.9980
null,1,individual_fish_count,15.23,6.7,0.9980
null,1,individual_inter_event,15.02,2.9,0.9988
null,1,individual_turbidity,13.92,3.0,1.0000
null,1,individual_dissolved_oxygen,11.08,2.3,1.0023
null,1,composed_evalue,12.40,2.0,0.9973
null,1,standardized_sum,17.02,2.3,
null,2,individual_temperature,12.22,5.3,1.0037
null,2,individual_fish_count,12.37,3.7,0.9928
null,2,individual_inter_event,10.89,2.7,0.9991
null,2,individual_turbidity,14.70,6.5,1.0008
null,2,individual_dissolved_oxygen,10.94,6.9,0.9986
null,2,composed_evalue,11.75,5.3,0.9943
null,2,standardized_sum,12.17,6.1,
null,3,individual_temperature,12.57,2.7,0.9981
null,3,individual_fish_count,11.59,166.7,0.9998
null,3,individual_inter_event,12.60,14.9,0.9991
null,3,individual_turbidity,13.39,12.8,1.0008
null,3,individual_dissolved_oxygen,12.22,7.1,1.0012
null,3,composed_evalue,14.32,4.8,0.9968
null,3,standardized_sum,12.10,2.9,
null,4,individual_temperature,11.66,2.4,0.9985
null,4,individual_fish_count,12.44,17.4,0.9984
null,4,individual_inter_event,17.24,11.2,1.0016
null,4,individual_turbidity,13.49,3.5,0.9993
null,4,individual_dissolved_oxygen,11.62,2.8,0.9967
null,4,composed_evalue,11.35,4.1,0.9935
null,4,standardized_sum,13.63,10.9,
null,5,individual_temperature,12.79,3.0,1.0021
null,5,individual_fish_count,15.45,3.1,0.9972
null,5,individual_inter_event,11.95,47.8,0.9983
null,5,individual_turbidity,10.40,2.8,0.9992
null,5,individual_dissolved_oxygen,12.05,33.4,0.9994
null,5,composed_evalue,15.64,2.5,0.9960
null,5,standardized_sum,15.72,2.2,
null,6,individual_temperature,12.32,2.9,1.0014
null,6,individual_fish_count,11.22,8.4,0.9938
null,6,individual_inter_event,17.21,2.1,1.0000
null,6,individual_turbidity,12.80,2.5,1.0000
null,6,individual_dissolved_oxygen,12.38,10.8,1.0014
null,6,composed_evalue,12.10,14.2,0.9962
null,6,standardized_sum,11.95,8.6,
null,7,individual_temperature,11.00,2.3,1.0032
null,7,individual_fish_count,14.44,4.6,0.9996
null,7,individual_inter_event,13.56,2.7,0.9993
null,7,individual_turbidity,11.71,16.8,1.0011
null,7,individual_dissolved_oxygen,11.98,2.9,1.0039
null,7,composed_evalue,10.66,2.3,1.0053
null,7,standardized_sum,14.87,12.9,
null,8,individual_temperature,16.23,8.6,0.9979
null,8,individual_fish_count,12.22,5.1,0.9937
null,8,individual_inter_event,12.40,17.5,1.0018
null,8,individual_turbidity,11.37,3.0,1.0004
null,8,individual_dissolved_oxygen,15.03,10.4,0.9994
null,8,composed_evalue,11.77,6.2,0.9913
null,8,standardized_sum,13.80,7.9,
null,9,individual_temperature,10.48,3.6,1.0028
null,9,individual_fish_count,11.47,4.5,1.0007
null,9,individual_inter_event,11.70,4.8,0.9995
null,9,individual_turbidity,15.01,4.0,1.0010
null,9,individual_dissolved_oxygen,12.21,2.0,1.0007
null,9,composed_evalue,13.28,3.0,1.0035
null,9,standardized_sum,11.80,2.0,
null,10,individual_temperature,14.22,5.8,1.0070
null,10,individual_fish_count,11.45,23.0,0.9989
null,10,individual_inter_event,15.13,7.6,0.9999
null,10,individual_turbidity,11.38,4.2,0.9989
null,10,individual_dissolved_oxygen,13.04,178.6,1.0008
null,10,composed_evalue,11.29,3.4,1.0049
null,10,standardized_sum,12.87,2.3,
null,11,individual_temperature,14.97,3.9,0.9982
null,11,individual_fish_count,12.73,2.3,0.9983
null,11,individual_inter_event,12.37,2.9,1.0004
null,11,individual_turbidity,14.26,15.6,0.9991
null,11,individual_dissolved_oxygen,11.72,6.6,1.0072
null,11,composed_evalue,15.17,7.2,1.0047
null,11,standardized_sum,23.03,12.7,
null,12,individual_temperature,12.99,3.2,0.9957
null,12,individual_fish_count,11.66,40.7,1.0038
null,12,individual_inter_event,12.59,2.0,1.0010
null,12,individual_turbidity,9.61,24.3,1.0017
null,12,individual_dissolved_oxygen,12.78,42.2,0.9968
null,12,composed_evalue,12.61,2.3,1.0000
null,12,standardized_sum,12.24,4.9,
null,13,individual_temperature,13.83,2.0,0.9976
null,13,individual_fish_count,11.76,2.4,0.9981
null,13,individual_inter_event,11.00,2.3,1.0008
null,13,individual_turbidity,11.50,181.8,0.9973
null,13,individual_dissolved_oxygen,12.77,7.1,1.0002
null,13,composed_evalue,12.70,7.1,0.9924
null,13,standardized_sum,12.19,3.6,
null,14,individual_temperature,11.54,3.6,0.9968
null,14,individual_fish_count,17.44,3.6,1.0018
null,14,individual_inter_event,10.54,14.6,1.0013
null,14,individual_turbidity,14.14,15.5,0.9998
null,14,individual_dissolved_oxygen,11.32,3.4,0.9957
null,14,composed_evalue,13.19,4.2,0.9940
null,14,standardized_sum,13.29,4.1,
null,15,individual_temperature,14.14,7.2,1.0034
null,15,individual_fish_count,14.47,9.7,1.0067
null,15,individual_inter_event,11.04,4.7,0.9996
null,15,individual_turbidity,13.07,6.1,1.0012
null,15,individual_dissolved_oxygen,11.81,70.4,1.0042
null,15,composed_evalue,11.89,4.3,1.0152
null,15,standardized_sum,12.37,5.0,
null,16,individual_temperature,14.51,3.2,0.9942
null,16,individual_fish_count,11.57,18.7,1.0017
null,16,individual_inter_event,16.54,10.7,1.0006
null,16,individual_turbidity,14.87,5.0,1.0011
null,16,individual_dissolved_oxygen,11.77,2.6,0.9965
null,16,composed_evalue,13.89,2.8,0.9950
null,16,standardized_sum,12.08,8.3,
null,17,individual_temperature,13.83,3.1,0.9976
null,17,individual_fish_count,10.88,14.7,1.0037
null,17,individual_inter_event,16.17,3.5,1.0011
null,17,individual_turbidity,10.94,2.9,1.0007
null,17,individual_dissolved_oxygen,10.29,10.2,0.9994
null,17,composed_evalue,12.65,4.0,1.0032
null,17,standardized_sum,10.77,2.6,
null,18,individual_temperature,11.30,2.3,0.9994
null,18,individual_fish_count,9.95,25.1,0.9991
null,18,individual_inter_event,13.25,9.5,0.9998
null,18,individual_turbidity,12.97,2.0,1.0000
null,18,individual_dissolved_oxygen,11.81,3.5,0.9985
null,18,composed_evalue,11.51,7.6,0.9992
null,18,standardized_sum,11.21,2.1,
null,19,individual_temperature,13.86,3.9,1.0017
null,19,individual_fish_count,12.74,312.5,1.0006
null,19,individual_inter_event,14.85,2.4,1.0004
null,19,individual_turbidity,13.21,2.5,1.0005
null,19,individual_dissolved_oxygen,13.05,4.3,1.0011
null,19,composed_evalue,12.10,3.4,1.0037
null,19,standardized_sum,13.14,3.4,
null,20,individual_temperature,10.58,17.3,1.0022
null,20,individual_fish_count,11.71,2.4,1.0005
null,20,individual_inter_event,12.29,2.1,0.9976
null,20,individual_turbidity,14.99,2.4,0.9999
null,20,individual_dissolved_oxygen,17.89,2.6,0.9961
null,20,composed_evalue,16.35,3.6,0.9965
null,20,standardized_sum,19.07,2.4,
null,21,individual_temperature,16.67,2.2,0.9932
null,21,individual_fish_count,13.79,2.6,1.0002
null,21,individual_inter_event,12.57,3.5,1.0000
null,21,individual_turbidity,13.86,3.7,0.9997
null,21,individual_dissolved_oxygen,12.99,2.2,1.0020
null,21,composed_evalue,13.98,2.4,0.9968
null,21,standardized_sum,11.22,3.6,
null,22,individual_temperature,15.44,29.5,1.0014
null,22,individual_fish_count,13.30,833.3,0.9966
null,22,individual_inter_event,14.88,2.2,0.9995
null,22,individual_turbidity,13.14,2.1,0.9993
null,22,individual_dissolved_oxygen,10.83,2.1,0.9988
null,22,composed_evalue,11.02,2.9,0.9963
null,22,standardized_sum,12.65,13.9,
null,23,individual_temperature,10.94,3.5,1.0031
null,23,individual_fish_count,12.03,2.3,0.9987
null,23,individual_inter_event,15.78,3.0,1.0008
null,23,individual_turbidity,13.44,3.4,1.0017
null,23,individual_dissolved_oxygen,11.94,2.0,1.0011
null,23,composed_evalue,12.78,4.7,1.0059
null,23,standardized_sum,11.77,4.8,
null,24,individual_temperature,10.62,2.8,1.0041
null,24,individual_fish_count,15.20,5.2,0.9990
null,24,individual_inter_event,13.08,4.0,1.0012
null,24,individual_turbidity,13.79,3.0,0.9994
null,24,individual_dissolved_oxygen,18.06,4.1,1.0002
null,24,composed_evalue,12.73,7.5,1.0023
null,24,standardized_sum,11.94,7.5,
null,25,individual_temperature,15.65,2.9,1.0005
null,25,individual_fish_count,12.51,11.7,1.0006
null,25,individual_inter_event,13.76,6.1,1.0007
null,25,individual_turbidity,13.24,4.6,0.9990
null,25,individual_dissolved_oxygen,12.34,9.9,0.9990
null,25,composed_evalue,16.18,4.1,1.0020
null,25,standardized_sum,12.70,3.7,
null,26,individual_temperature,15.90,4.0,1.0033
null,26,individual_fish_count,13.50,2.2,1.0010
null,26,individual_inter_event,13.99,16.9,0.9990
null,26,individual_turbidity,12.62,2.4,0.9995
null,26,individual_dissolved_oxygen,11.35,64.5,0.9992
null,26,composed_evalue,13.85,12.1,1.0003
null,26,standardized_sum,12.35,3.8,
null,27,individual_temperature,12.43,2.8,0.9993
null,27,individual_fish_count,12.33,4.0,0.9963
null,27,individual_inter_event,14.02,3.0,0.9992
null,27,individual_turbidity,13.63,2.1,1.0004
null,27,individual_dissolved_oxygen,11.75,3.4,1.0015
null,27,composed_evalue,12.69,2.8,0.9963
null,27,standardized_sum,12.92,2.2,
null,28,individual_temperature,11.71,3.4,0.9936
null,28,individual_fish_count,14.36,2.7,0.9985
null,28,individual_inter_event,12.47,5.0,1.0010
null,28,individual_turbidity,13.56,2.9,0.9981
null,28,individual_dissolved_oxygen,13.11,35.8,1.0011
null,28,composed_evalue,13.47,4.4,0.9923
null,28,standardized_sum,11.59,4.4,
null,29,individual_temperature,14.96,3.6,0.9991
null,29,individual_fish_count,11.44,2.4,1.0020
null,29,individual_inter_event,15.09,23.2,0.9998
null,29,individual_turbidity,13.66,15.7,1.0003
null,29,individual_dissolved_oxygen,12.08,38.5,1.0006
null,29,composed_evalue,12.54,10.7,0.9998
null,29,standardized_sum,10.70,2.6,
null,30,individual_temperature,12.93,2.2,1.0074
null,30,individual_fish_count,12.09,26.2,0.9990
null,30,individual_inter_event,14.91,2.6,1.0002
null,30,individual_turbidity,12.05,6.8,0.9997
null,30,individual_dissolved_oxygen,18.35,3.3,0.9984
null,30,composed_evalue,12.75,3.1,1.0058
null,30,standardized_sum,12.30,5.7,
null,31,individual_temperature,14.68,3.6,1.0017
null,31,individual_fish_count,12.35,2.2,1.0065
null,31,individual_inter_event,11.17,2.2,0.9988
null,31,individual_turbidity,12.48,4.9,0.9984
null,31,individual_dissolved_oxygen,10.97,45.7,1.0000
null,31,composed_evalue,9.94,2.1,1.0057
null,31,standardized_sum,13.65,35.0,
null,32,individual_temperature,11.54,5.5,0.9934
null,32,individual_fish_count,12.72,8.0,0.9969
null,32,individual_inter_event,13.25,3.5,0.9982
null,32,individual_turbidity,13.27,9.8,0.9996
null,32,individual_dissolved_oxygen,13.92,2.3,0.9980
null,32,composed_evalue,13.29,3.3,0.9875
null,32,standardized_sum,13.98,10.5,
null,33,individual_temperature,14.16,2.2,1.0017
null,33,individual_fish_count,12.78,29.9,0.9969
null,33,individual_inter_event,12.27,12.8,0.9998
null,33,individual_turbidity,11.89,3.3,1.0006
null,33,individual_dissolved_oxygen,14.84,3.2,1.0010
null,33,composed_evalue,13.21,2.1,1.0026
null,33,standardized_sum,11.98,22.5,
null,34,individual_temperature,13.68,5.8,1.0039
null,34,individual_fish_count,15.86,2.8,0.9987
null,34,individual_inter_event,11.87,40.3,0.9998
null,34,individual_turbidity,17.11,3.1,1.0000
null,34,individual_dissolved_oxygen,12.22,8.6,0.9996
null,34,composed_evalue,18.18,80.6,0.9996
null,34,standardized_sum,17.03,80.6,
null,35,individual_temperature,13.04,7.2,1.0013
null,35,individual_fish_count,10.31,91.7,1.0021
null,35,individual_inter_event,11.10,7.7,0.9995
null,35,individual_turbidity,14.62,3.8,0.9979
null,35,individual_dissolved_oxygen,15.22,7.6,0.9992
null,35,composed_evalue,18.55,6.0,0.9973
null,35,standardized_sum,11.46,2.2,
null,36,individual_temperature,13.42,22.3,0.9990
null,36,individual_fish_count,12.04,4.4,0.9973
null,36,individual_inter_event,14.73,5.1,0.9999
null,36,individual_turbidity,14.22,2.6,0.9987
null,36,individual_dissolved_oxygen,12.69,4.0,1.0019
null,36,composed_evalue,12.97,4.4,0.9978
null,36,standardized_sum,13.01,3.2,
null,37,individual_temperature,14.12,2.5,0.9989
null,37,individual_fish_count,11.17,4.4,0.9977
null,37,individual_inter_event,13.73,3.1,1.0007
null,37,individual_turbidity,14.23,2.9,0.9984
null,37,individual_dissolved_oxygen,11.07,59.5,1.0000
null,37,composed_evalue,12.48,22.2,0.9964
null,37,standardized_sum,13.13,2.3,
null,38,individual_temperature,11.83,232.6,1.0006
null,38,individual_fish_count,13.21,5.6,0.9974
null,38,individual_inter_event,13.26,2.7,1.0000
null,38,individual_turbidity,14.23,2.4,1.0020
null,38,individual_dissolved_oxygen,11.93,15.9,0.9988
null,38,composed_evalue,12.16,2.0,0.9981
null,38,standardized_sum,12.59,7.3,
null,39,individual_temperature,11.89,3.9,0.9981
null,39,individual_fish_count,10.90,3.0,0.9997
null,39,individual_inter_event,12.15,3.4,1.0005
null,39,individual_turbidity,16.21,6.9,0.9997
null,39,individual_dissolved_oxygen,15.83,3.4,0.9991
null,39,composed_evalue,18.62,26.0,0.9954
null,39,standardized_sum,11.47,4.4,
null,40,individual_temperature,13.17,3.3,0.9983
null,40,individual_fish_count,11.99,2.1,0.9993
null,40,individual_inter_event,12.48,5.3,0.9994
null,40,individual_turbidity,12.57,13.3,1.0007
null,40,individual_dissolved_oxygen,13.64,13.0,0.9989
null,40,composed_evalue,12.08,285.7,0.9954
null,40,standardized_sum,14.02,2.6,
null,41,individual_temperature,15.74,10.4,0.9982
null,41,individual_fish_count,12.41,7.1,0.9994
null,41,individual_inter_event,11.77,53.5,1.0001
null,41,individual_turbidity,14.75,5.6,1.0004
null,41,individual_dissolved_oxygen,14.24,3.0,1.0031
null,41,composed_evalue,16.14,2.7,1.0017
null,41,standardized_sum,12.95,2.4,
null,42,individual_temperature,11.03,2.7,0.9965
null,42,individual_fish_count,12.62,3.4,1.0017
null,42,individual_inter_event,11.82,14.1,1.0012
null,42,individual_turbidity,13.67,3.3,1.0001
null,42,individual_dissolved_oxygen,13.27,2.3,1.0023
null,42,composed_evalue,13.38,3.7,1.0040
null,42,standardized_sum,14.88,3.1,
null,43,individual_temperature,12.12,8.0,0.9940
null,43,individual_fish_count,14.10,2.6,0.9973
null,43,individual_inter_event,13.16,34.0,1.0001
null,43,individual_turbidity,14.43,14.8,1.0003
null,43,individual_dissolved_oxygen,11.29,2.1,1.0028
null,43,composed_evalue,17.56,3.6,0.9939
null,43,standardized_sum,15.22,6.2,
null,44,individual_temperature,11.68,2.7,0.9983
null,44,individual_fish_count,12.96,32.2,1.0024
null,44,individual_inter_event,19.86,5.6,0.9992
null,44,individual_turbidity,13.37,2.1,1.0019
null,44,individual_dissolved_oxygen,12.26,149.3,1.0012
null,44,composed_evalue,12.45,6.0,1.0023
null,44,standardized_sum,14.75,6.0,
null,45,individual_temperature,11.54,2.6,0.9979
null,45,individual_fish_count,21.60,3.4,1.0002
null,45,individual_inter_event,11.25,2.4,0.9991
null,45,individual_turbidity,14.48,3.7,1.0006
null,45,individual_dissolved_oxygen,10.54,2.3,0.9949
null,45,composed_evalue,12.79,2.5,0.9914
null,45,standardized_sum,14.16,4.6,
null,46,individual_temperature,12.53,3.1,1.0019
null,46,individual_fish_count,13.04,10.7,0.9995
null,46,individual_inter_event,11.86,19.3,1.0015
null,46,individual_turbidity,15.05,6.8,1.0018
null,46,individual_dissolved_oxygen,13.92,3.1,0.9979
null,46,composed_evalue,16.77,3.3,1.0030
null,46,standardized_sum,15.91,2.1,
null,47,individual_temperature,12.72,12.6,0.9983
null,47,individual_fish_count,18.19,5.0,1.0009
null,47,individual_inter_event,13.45,3.0,1.0010
null,47,individual_turbidity,13.04,2.2,0.9983
null,47,individual_dissolved_oxygen,12.98,4.2,1.0002
null,47,composed_evalue,12.73,4.0,0.9992
null,47,standardized_sum,12.06,2.2,
null,48,individual_temperature,12.58,2.6,0.9971
null,48,individual_fish_count,12.06,46.1,1.0019
null,48,individual_inter_event,11.82,2.8,0.9992
null,48,individual_turbidity,12.76,34.0,1.0001
null,48,individual_dissolved_oxygen,12.24,3.0,0.9997
null,48,composed_evalue,14.53,4.3,0.9969
null,48,standardized_sum,12.14,8.4,
null,49,individual_temperature,12.68,7.6,0.9997
null,49,individual_fish_count,12.35,6.8,0.9993
null,49,individual_inter_event,15.78,31.0,1.0003
null,49,individual_turbidity,13.88,4.2,0.9993
null,49,individual_dissolved_oxygen,13.92,2.0,1.0019
null,49,composed_evalue,11.89,2.0,1.0034
null,49,standardized_sum,13.36,45.9,
null,50,individual_temperature,16.22,3.2,1.0021
null,50,individual_fish_count,13.78,4.6,0.9997
null,50,individual_inter_event,12.19,7.2,0.9986
null,50,individual_turbidity,12.25,4.7,0.9993
null,50,individual_dissolved_oxygen,13.14,3.1,1.0002
null,50,composed_evalue,15.37,2.0,1.0017
null,50,standardized_sum,13.98,17.4,
null,51,individual_temperature,11.36,3.3,1.0046
null,51,individual_fish_count,13.09,2.1,0.9996
null,51,individual_inter_event,14.28,3.9,1.0001
null,51,individual_turbidity,13.88,8.6,0.9984
null,51,individual_dissolved_oxygen,11.66,4.9,0.9976
null,51,composed_evalue,15.07,2.0,0.9966
null,51,standardized_sum,12.28,4.9,
null,52,individual_temperature,12.48,8.3,1.0009
null,52,individual_fish_count,12.27,4.7,1.0015
null,52,individual_inter_event,11.82,2.1,1.0005
null,52,individual_turbidity,16.16,15.8,0.9985
null,52,individual_dissolved_oxygen,10.95,11.1,0.9997
null,52,composed_evalue,12.11,2.9,1.0028
null,52,standardized_sum,11.29,78.1,
null,53,individual_temperature,12.43,2.8,1.0055
null,53,individual_fish_count,10.32,2.3,1.0069
null,53,individual_inter_event,15.17,5.6,1.0006
null,53,individual_turbidity,16.53,2.2,0.9995
null,53,individual_dissolved_oxygen,11.99,4.2,1.0010
null,53,composed_evalue,12.25,6.3,1.0154
null,53,standardized_sum,12.27,8.1,
null,54,individual_temperature,15.04,2.0,1.0065
null,54,individual_fish_count,14.25,5.0,0.9979
null,54,individual_inter_event,10.72,18.7,0.9999
null,54,individual_turbidity,14.52,6.0,1.0000
null,54,individual_dissolved_oxygen,12.64,3.8,1.0012
null,54,composed_evalue,13.58,2.0,1.0050
null,54,standardized_sum,11.35,3.7,
null,55,individual_temperature,13.34,3.6,1.0022
null,55,individual_fish_count,16.64,10.6,0.9971
null,55,individual_inter_event,12.03,2.5,1.0003
null,55,individual_turbidity,11.52,5.1,1.0001
null,55,individual_dissolved_oxygen,12.34,217.4,1.0024
null,55,composed_evalue,11.65,2.1,1.0019
null,55,standardized_sum,11.45,11.8,
null,56,individual_temperature,11.01,2.2,0.9984
null,56,individual_fish_count,14.08,2.0,0.9968
null,56,individual_inter_event,11.41,3.7,1.0008
null,56,individual_turbidity,13.89,14.9,1.0012
null,56,individual_dissolved_oxygen,17.82,4.5,1.0004
